term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),6.663766696966889e-8,9.567189316952742,-1.7271525943235435,0.08414026204661344,4.740090632612756e-16,9.247434839163521
race_originHispanic (All Races),1.5581461512428807,0.11352593870548872,3.906567565664214,9.361647473752449e-5,1.2430911319278937,1.9406035544768634
race_originNon-Hispanic American Indian/Alaska Native,1.0416569840721253,0.46236428387771145,0.08826957576396245,0.9296624195670626,0.38224333139363414,2.419896444732921
race_originNon-Hispanic Asian or Pacific Islander,1.1268223579523367,0.27498665251022475,0.4342087069372226,0.6641368909312092,0.6370053627126403,1.884609670951913
race_originNon-Hispanic Black,1.822619746445352,0.2976513892460416,2.0167044701504846,0.043726363168347854,0.9923416671319276,3.2116932861682117
race_originNon-Hispanic Unknown Race,2.2955930768762443,0.2700470877494715,3.0772086392401445,0.0020894899493880694,1.3272568299493028,3.847505332969758
yost_catMiddle,1.4350136127144455,0.07477173684705617,4.830359044855697,1.3628706701498147e-6,1.2397959754497654,1.662166994472049
yost_catLower,1.69949923995712,0.07389451423634767,7.176901403561686,7.13090738775489e-13,1.4709850791807457,1.9653370524406661
age_cat56-68,0.9022722680412816,0.07397369058140536,-1.3902098758200367,0.16446515542347898,0.7800617182674038,1.0425418585349904
age_cat69+,1.101996566987829,0.0682804577189165,1.4224215641558244,0.15490390668231832,0.9638139208855979,1.2596697630131346
sexFemale,0.751549081124967,0.05888640035086009,-4.850334870900275,1.232532081689925e-6,0.6694628371166895,0.8433161761636859
ajcc_stageStage II,6.4930596548509065,0.18824308962781988,9.937862073696774,2.848753379149975e-23,4.558960846805187,9.558039725288271
ajcc_stageStage IV,13.950801804588133,0.34068207829900926,7.736059955974224,1.0254511785162985e-14,7.126942690176062,27.2501523854563
ajcc_stageUnknown,4.810955987960234,0.1823608141590271,8.614218036421327,7.04205646894289e-18,3.4211397197786013,7.0089607094528805
year_dx,1.0065949563448036,0.004750183605384585,1.3838001450691482,0.16641965862592167,0.9972681100377944,1.0160150947651878
