"term","OR","std.error","statistic","p.value","conf.low","conf.high","predictor"
"(Intercept)",0.32681564245898,0.106490775504978,-10.5019335834208,8.46285938943859e-26,0.264219059466604,0.401267242277543,"race_origin"
"race_originNon-Hispanic American Indian/Alaska Native",0.734358974356991,0.4669120782125,-0.661275041806439,0.508435944221082,0.267518805650102,1.72310620069165,"race_origin"
"race_originNon-Hispanic Asian or Pacific Islander",0.693561253559208,0.288958715794376,-1.2663252495228,0.205396660733556,0.382739225616706,1.19572537119917,"race_origin"
"race_originNon-Hispanic Black",1.30042735042534,0.308486191536412,0.85155494395176,0.394461155814113,0.694638272042988,2.3443657140567,"race_origin"
"race_originNon-Hispanic Unknown Race",1.36715766502733,0.283259377234047,1.10405484424951,0.269569347632853,0.771712818939806,2.35459610003019,"race_origin"
"race_originNon-Hispanic White",0.650730622394645,0.110764714420214,-3.87902876057504,0.000104874356198858,0.52541686254012,0.811407562499388,"race_origin"
"(Intercept)",0.162425784563239,0.0550913108160982,-32.9913023486322,1.08251261225817e-238,0.14559235701163,0.180697850906249,"yost_cat"
"yost_catMiddle",1.44336006775916,0.0736707230911364,4.98127017726767,6.31682735449319e-07,1.24970671242259,1.66823937874364,"yost_cat"
"yost_catLower",1.69329802944006,0.0722121715884368,7.29348131158274,3.02046633772128e-13,1.47048756238564,1.95175881948672,"yost_cat"
"(Intercept)",0.222222222222246,0.0448356305122503,-33.546475862879,1.01339052432377e-246,0.203357414972879,0.24243889559515,"age_cat"
"age_cat56-68",0.902445652173924,0.0725516307359112,-1.41481051142535,0.157124061335899,0.782369947018753,1.03981446036757,"age_cat"
"age_cat69+",1.08127962085317,0.0667574208684004,1.17058407710915,0.241766000700934,0.948493678901977,1.23226683745381,"age_cat"
"(Intercept)",0.251540945113075,0.0382148365138073,-36.11554110834,1.29345494528836e-285,0.23325589504365,0.270955661179192,"sex"
"sexFemale",0.76018174422769,0.057967586539922,-4.73019067233294,2.24309062423046e-06,0.678375668038173,0.851470724707169,"sex"
"(Intercept)",0.0478955018631034,0.178179159984371,-17.0543720492671,3.24339617344925e-65,0.0331185815823403,0.0667455145244219,"ajcc_stage"
"ajcc_stageStage II",6.57966748792985,0.187615603903634,10.0417245213718,9.99119182594763e-24,4.62595049219527,9.6745595000584,"ajcc_stage"
"ajcc_stageStage IV",15.1191218979988,0.337416092225088,8.04929093815703,8.32750751317326e-16,7.77295937305891,29.3460418341194,"ajcc_stage"
"ajcc_stageUnknown",4.60219541179353,0.181414525541486,8.41461535959184,3.94186187148364e-17,3.27935246068202,6.69351431769216,"ajcc_stage"
"(Intercept)",4.16056928884325e-06,9.28549589423007,-1.33432385151054,0.182097744042757,5.03352009847119e-14,324.861914269126,"year_dx"
"year_dx",1.00542388497136,0.00461436672328847,1.17225808085726,0.241093456047294,0.996384197077395,1.0145732805628,"year_dx"
